total_bill,tip,gender_waiter,gender_customer,smoker,time
36.06,3.76,female,male,no,evening
23.84,6.87,male,female,no,evening
34.26,6.95,male,female,no,day
29.72,5.81,male,male,yes,day
36.53,9.66,male,male,yes,day
10.3,2.11,female,female,no,evening
48.44,7.92,female,male,yes,evening
23.81,1.81,female,female,no,day
14.14,1.47,male,male,yes,evening
39.76,6.64,female,male,no,day
14.03,3.04,male,male,no,evening
15.85,0.81,female,male,yes,day
29.89,2.57,male,female,yes,evening
16.09,9.76,female,male,yes,day
20.1,3.45,female,male,no,day
17.58,1.63,male,female,no,day
16.71,5.46,male,female,yes,day
16.16,1.36,female,male,yes,evening
39.17,3.05,male,male,yes,evening
37.77,9.95,female,male,yes,evening
31.05,4.4,female,female,no,evening
32.01,0.05,male,female,yes,evening
24.17,8.84,female,female,no,evening
30.36,0.13,female,male,no,day
24.95,8.74,female,female,no,day
38.31,9.46,male,male,no,evening
13.91,8.86,female,male,no,day
42.58,8.27,male,female,yes,evening
11.27,3.05,male,female,no,day
42.67,4.43,female,male,yes,day
38.52,1.81,male,male,no,day
12.58,7.82,female,male,yes,day
19.84,1.56,male,male,yes,evening
12.79,0.8,male,male,yes,day
19.91,1.57,female,male,yes,evening
44.97,7.81,male,male,yes,evening
33.47,9.58,male,female,yes,evening
18.8,7.08,male,female,no,day
19.16,3.61,female,male,no,day
42.65,2.98,male,male,no,day
38.16,4.62,female,male,yes,evening
13.42,9.73,male,male,no,day
27.94,8.82,female,male,yes,day
35.89,7.51,male,male,yes,day
17.79,9.38,male,male,yes,evening
34.37,3.99,male,female,yes,evening
38.22,5.75,female,female,yes,evening
15.19,6.07,male,male,yes,evening
36.23,1.7,female,male,yes,evening
38.82,2.79,female,male,no,day
39.26,3.37,female,female,no,day
30.21,4.18,female,female,yes,evening
31.47,9.11,female,male,yes,evening
11.36,0.32,male,male,yes,day
13.97,9.04,female,female,no,day
19.73,2.33,male,male,yes,day
35.21,9.21,female,male,no,day
43.3,0.17,male,female,no,evening
14.0,3.85,female,male,no,evening
46.18,0.97,female,female,yes,evening
14.14,6.05,female,female,yes,evening
39.42,2.86,male,male,yes,day
17.07,7.41,male,male,no,evening
14.37,1.82,female,male,yes,day
12.27,9.99,female,male,no,evening
22.43,1.97,male,male,no,day
48.19,1.12,male,female,yes,day
21.84,1.28,male,male,yes,day
26.35,3.34,female,male,no,evening
47.94,2.49,male,female,no,day
42.13,5.31,male,male,no,day
28.48,4.08,male,female,yes,day
23.05,7.22,female,male,no,evening
23.89,2.31,male,female,no,evening
14.56,9.76,female,female,yes,evening
19.64,5.8,male,female,yes,evening
37.03,6.77,female,male,no,evening
31.25,0.02,female,female,no,day
24.11,4.29,female,male,yes,evening
21.38,9.59,female,female,yes,evening
18.62,9.28,male,male,yes,evening
28.36,5.8,male,female,no,day
32.52,1.6,female,female,yes,day
30.68,5.98,male,male,no,day
38.92,9.45,male,male,yes,evening
17.42,5.87,female,female,yes,day
28.99,4.82,male,male,no,day
33.03,3.88,female,male,no,day
18.57,6.06,male,male,yes,day
22.27,6.23,female,male,no,evening
46.18,7.89,male,female,no,day
31.96,6.35,female,female,yes,evening
37.68,5.02,male,female,no,day
25.37,8.42,female,female,no,day
47.26,5.97,female,male,no,day
23.41,0.03,male,male,yes,day
48.23,7.64,male,female,yes,day
22.32,0.77,male,male,no,day
46.84,9.04,female,male,yes,day
47.15,5.3,male,female,no,day
45.37,9.65,male,male,yes,day
40.93,8.77,male,female,yes,evening
48.34,4.54,male,male,yes,evening
43.66,3.15,male,male,no,evening
37.8,5.3,male,female,yes,day
31.83,8.68,female,male,yes,evening
49.8,5.29,female,male,yes,day
20.65,4.47,female,male,yes,evening
11.41,0.75,female,male,yes,evening
19.35,5.26,female,female,yes,evening
47.99,3.88,male,male,yes,day
38.19,3.23,female,male,yes,day
31.36,0.5,female,female,yes,evening
23.11,8.03,female,female,no,day
24.09,2.74,female,male,no,day
41.13,5.06,male,female,no,day
42.2,9.77,male,male,no,day
10.9,7.86,female,female,no,day
49.31,6.48,male,female,no,day
25.81,1.26,male,male,no,day
19.23,3.98,male,male,yes,day
18.44,2.75,female,female,no,evening
23.04,0.83,female,female,no,day
15.85,0.41,male,male,yes,day
13.28,6.26,female,female,no,day
21.29,2.64,female,female,no,day
12.25,6.7,male,female,yes,evening
14.51,3.08,male,male,yes,day
20.66,7.47,female,female,no,day
49.81,5.86,male,female,no,day
34.21,5.99,male,male,yes,evening
